x y
1.57332 0.35692
1.48442 0.75554
1.71249 0.11582
1.41945 1.04753
1.49742 0.53186
1.50590 0.51727
1.46240 1.16000
1.53621 0.47793
0.43980 2.33980
1.68461 0.21176
1.42137 0.49218
1.45728 0.50196
1.36646 0.67237
1.68574 0.51919
1.77377 0.27176
1.70952 0.46245
1.76779 0.14395
0.97892 1.60339
1.59962 0.12072
1.67231 -0.09155
1.52938 0.70380
1.64301 0.36871
1.73457 0.46561
1.65066 0.28202
1.45424 0.86621
0.82214 2.02566
1.37600 0.82640
1.10206 1.24824
1.70785 0.17756
1.88508 -0.06641
1.28085 0.80086
1.37600 0.63682
1.70202 0.44554
1.31167 0.64319
1.43977 0.66225
1.41178 0.21579
1.07918 1.15123
1.00448 1.43812
1.66024 0.38297
1.64652 0.23582
1.64883 0.45884
1.04229 1.12295
1.74299 0.33829
1.67789 0.35461
1.36173 1.04112
1.51224 0.49463
1.21746 0.88189
0.61394 1.95652
1.20077 0.97718
1.24711 1.23251
1.66732 0.53495
1.75587 0.18617
1.53074 0.32002
0.99561 1.20391
1.65893 0.68203
1.58405 0.54393
1.44397 0.67599
1.14820 0.88331
1.81954 0.13777
1.66963 0.24899
1.70461 0.00824
0.78545 1.51077
1.30686 0.90824
1.42889 0.72711
1.63354 0.56813
1.51121 0.60497
1.92003 0.35870
0.44303 2.37612
1.59320 0.23134
1.66997 0.16205
1.68797 0.57774
1.76951 -0.18782
1.49742 0.75517
1.79149 0.23510
1.27085 0.82794
1.65993 0.32213
1.14565 1.34880
1.63729 0.33594
0.37236 2.36895
1.58279 0.59769
1.42352 0.56238
1.53960 0.59123
1.65566 -0.04461
0.74036 1.47641
1.59948 0.75891
1.61278 0.14004
1.20074 1.24143
1.29845 0.78058
1.74144 -0.37823
1.69411 0.66486
1.03073 1.12918
1.32952 0.91287
1.60738 0.10836
0.72720 1.39732
1.58177 0.49464
1.34137 1.14185
1.34242 1.20212
1.53399 0.52807
1.16240 1.04528
1.60234 0.25169
1.66276 0.59891
1.92927 0.08060
1.84897 0.33707
1.44538 0.91232
1.00886 1.49334
1.74819 0.55287
1.52487 0.91737
1.53960 0.55329
1.60206 0.71087
0.98528 1.14014
1.47425 0.98651
1.43399 0.70955
1.79667 0.06679
1.01401 1.51651
1.56517 0.25936
1.76951 0.82116
1.65960 0.61575
1.56566 0.45196
1.40979 0.97695
1.49214 0.40186
1.74764 -0.09290
1.32261 0.70788
1.33835 0.93020
1.55497 0.49024
1.43977 0.67209
1.63279 0.49168
1.66749 0.53431
1.37600 0.69760
0.57993 1.72501
1.52119 0.98489
1.16723 1.38461
1.17717 0.68182
1.74158 0.05290
1.52618 0.94045
1.52827 0.90585
1.73478 -0.03710
1.31327 0.88546
1.22749 0.81794
1.61540 0.44181
1.70982 0.65045
1.57790 0.38001
1.37236 1.12015
1.39072 0.52173
1.51694 0.91147
1.20358 1.25716
1.67856 0.18320
1.70461 0.28042
1.67092 0.45850
1.24711 0.71790
1.94277 -0.25829
1.59691 0.39775
1.53133 0.45387
1.02337 1.38922
1.43584 0.98531
1.29397 0.83152
1.56433 0.19288
1.68833 0.40616
1.52504 0.94542
1.35626 1.20041
1.29239 1.01498
0.72797 1.95179
1.43136 0.89266
1.83513 -0.14596
1.55031 0.42578
1.46227 0.60236
1.77634 0.26484
1.30511 1.15987
1.42617 0.65335
1.54751 0.76165
1.84292 -0.11260
1.86378 0.28943
1.39794 0.42176
0.95298 1.63211
1.22628 1.10966
1.36579 1.17939
1.42530 1.06043
1.46443 0.79720
1.47457 1.02468
1.79885 0.03659
1.34071 0.78510
1.79039 0.24522
1.06697 1.09764
1.41371 0.58723
1.58989 0.56586
1.95154 0.51505
1.56964 0.84057
1.77229 0.72014
1.21121 0.71149
1.67924 0.69893
1.51694 0.70111
1.60860 0.44358
1.34289 0.57444
1.11666 1.04167
1.57927 0.56571
1.74882 0.09407
1.72743 0.27312
1.70345 0.26091
0.63938 2.04027
1.80373 0.24754
0.72700 1.80807
1.41008 0.50268
1.44640 0.76844
1.10476 1.29457
1.63520 0.83600
1.55706 0.61763
1.66124 0.78558
1.65051 0.32487
1.76007 0.58301
1.19890 1.63851
0.91710 1.79857
1.83103 0.08613
1.17609 0.96710
1.34066 0.91423
1.21227 1.38349
1.62667 0.55543
1.61291 -0.13145
1.09691 1.50535
1.17641 1.32224
1.02338 1.59573
1.69011 0.45667
1.27687 1.03911
1.73698 0.40133
0.88021 1.62924
0.79664 1.82870
1.54532 0.89851
1.51410 0.59323
1.31685 1.12034
1.58455 0.46219
1.65000 0.26815
1.53088 0.40186
1.08405 1.40424
1.42384 0.85649
1.55278 0.46261
1.42732 1.03483
1.64245 0.80702
1.26910 1.04735
1.69415 0.41307
1.68358 0.36606
0.92927 1.05744
0.80476 1.55986
1.63615 0.99833
1.22970 0.97549
1.55630 0.60462
1.10266 1.08097
1.75772 0.44438
1.55485 0.64254
1.29373 0.96405
0.78157 2.12602
1.64835 0.64420
0.80152 1.56114
1.66051 -0.01586
1.57435 0.69436
1.20509 1.07346
0.60206 1.97921
1.64748 0.33228
1.18192 1.33749
1.36134 0.76719
0.39088 2.15334
1.25975 1.02437
1.07037 1.37086
1.24711 1.13102
1.26659 1.00508
1.38983 0.81810
1.49416 0.36845
1.52463 0.54406
1.31419 0.99540
0.86800 1.92225
1.24160 0.78027
1.58605 0.62323
0.55360 2.02945
1.04846 1.37054
0.83193 1.40840
1.32721 1.27181
1.62057 0.04158
1.52531 0.64437
0.50000 2.20933
1.46157 0.60837
1.86378 0.57921
0.42867 2.23116
1.66992 0.16018
1.12325 1.37030
1.55630 0.44059
1.57376 0.33289
0.97442 1.63328
1.24711 0.89774
1.22428 1.55454
1.60683 0.35140
1.76592 0.48349
1.47957 0.52469
1.53418 1.02106
1.61087 0.43004
1.29934 1.08521
1.65079 0.37528
1.61041 0.55746
1.65828 0.59990
1.64301 0.37151
1.00672 1.00717
1.67092 0.42067
1.61525 0.80606
1.84897 0.09060
1.58188 0.85090
1.57927 0.38325
1.38508 0.45003
1.46753 0.86860
1.64673 0.39692
1.25587 1.13125
1.89648 0.03381
1.70340 -0.27136
1.46227 0.48713
1.66240 0.58673
1.36923 0.91760
1.56229 0.84605
0.77890 1.57084
1.57993 0.45413
1.63478 0.41276
1.70982 0.37613
1.10905 1.15303
1.42158 1.00759
1.33579 1.28990
1.45404 0.99904
1.94718 -0.39636
1.64174 0.57898
1.76497 0.14644
1.73879 -0.00875
1.60614 0.38749
1.51858 0.53765
1.77085 -0.03143
1.64495 0.34108
1.44538 0.64598
1.50590 0.52670
0.78033 2.07730
0.88993 1.62078
1.64225 0.14641
1.47820 0.87544
1.50432 0.54770
1.54095 0.66319
1.83626 0.18646
0.77368 1.96427
1.41178 0.84330
1.47273 0.69562
0.77815 1.77877
1.51330 0.56056
1.50860 0.41375
1.57547 0.27474
0.97100 1.37325
1.11394 1.13019
1.28427 0.62745
1.53991 0.53618
1.77528 0.28819
1.36250 0.71495
1.75044 0.23660
0.84242 1.61227
1.80844 0.03451
1.13347 0.70585
1.16798 1.43504
1.52860 0.54256
0.99756 1.61973
1.56070 0.44380
